"","q2","q3","q4","q11","q61","q62","q63","q64","q68","q69"
"539",1950,1,6,1,9,6,1,2,4,-8
"540",1959,2,6,-9,7,1,2,2,3,15000
"541",1967,1,6,1,8,21,NA,2,1,197000
"542",1956,2,6,-9,9,6,1,2,4,1e+05
"543",1954,2,6,1,7,6,1,2,4,69000
"544",1951,2,6,-8,8,22,1,2,4,-8
"545",1937,2,6,1,5,6,1,2,4,48000
"546",1933,2,6,-9,9,12,2,2,4,0
"547",1979,1,6,-9,5,21,NA,2,10,120000
"548",1963,1,6,-9,4,21,NA,2,5,6000
"549",1956,2,6,1,9,9,2,2,1,0
"550",1961,2,6,3,9,6,1,2,2,72000
"551",1946,1,6,5,10,12,1,2,11,50000
"552",1965,1,6,-9,7,6,2,2,1,85000
"553",1976,1,6,-9,7,6,2,2,1,275000
"554",1947,2,6,-8,8,22,1,2,4,92000
"555",1957,1,6,2,10,2,3,13,3,95000
"556",1940,2,6,1,10,6,1,13,4,70000
"557",1961,2,6,1,8,21,NA,2,1,280000
"558",1962,1,6,1,7,6,2,2,4,-8
"559",1939,1,6,1,5,6,1,2,4,60000
"560",1967,2,6,2,9,6,1,7,3,180000
"561",1970,1,6,1,9,10,2,7,1,1e+06
"562",1960,2,6,2,10,1,2,2,3,2e+05
"563",1956,1,6,-8,9,22,1,-8,1,180000
"564",1951,2,6,-9,9,1,2,2,11,-8
"565",1952,1,6,NA,5,21,NA,2,4,21000
"566",1961,1,6,1,9,21,NA,2,1,150000
"567",1954,1,6,2,8,6,4,2,1,210000
"568",1934,2,6,1,9,7,1,2,4,1e+05
"569",1954,2,6,-9,10,5,1,2,5,30000
"570",1946,1,6,NA,11,12,2,2,4,82000
"571",1973,2,6,2,9,6,1,2,2,-8
"572",1967,2,7,-9,5,21,NA,2,1,120000
"573",1953,1,7,1,4,3,2,2,4,3000
"574",1966,1,7,2,7,21,NA,2,1,80000
"575",1964,1,8,6,5,21,NA,2,1,50000
"576",1978,2,8,1,10,17,1,2,1,55000
"577",1950,1,8,-9,7,1,2,2,4,90000
"578",1942,2,8,2,7,20,1,2,7,-8
"579",1978,2,8,2,7,20,1,2,7,35000
"580",1964,2,8,2,9,17,1,2,1,3e+05
"581",1970,1,8,2,4,12,3,2,3,-9
"582",1939,1,8,2,4,12,1,2,4,4000
"583",1941,1,8,-9,4,6,2,2,4,16000
"584",1946,1,8,3,5,21,NA,2,4,40000
"585",1956,1,8,2,5,21,NA,2,1,-8
"586",1941,1,8,2,10,9,1,2,4,55000
"587",1951,1,8,3,11,1,2,2,2,0
"588",1941,1,8,2,4,21,NA,2,4,40000
"589",1959,1,8,-8,9,9,1,2,11,-8
"590",1957,2,8,1,5,9,2,2,4,38000
"591",1940,1,8,2,8,6,2,2,4,60000
"592",1948,2,9,1,6,1,3,2,4,-8
"593",1959,2,9,-9,5,21,NA,2,1,150000
"594",1988,2,9,2,9,8,3,2,10,130000
"595",1982,2,9,2,5,12,2,2,3,1e+06
"596",1945,2,9,-9,4,1,2,2,4,-9
"597",1967,2,9,-9,7,6,2,2,2,2e+05
"598",1952,2,9,2,7,12,2,2,4,21000
"599",1973,2,9,-9,7,21,NA,2,8,19000
"600",1951,1,9,2,5,12,1,2,4,60000
"601",1975,2,9,1,10,12,1,2,1,110000
"602",1950,2,9,-9,8,21,NA,2,4,-9
"603",1940,2,9,3,5,17,1,2,5,39000
"604",1980,2,9,2,9,21,NA,2,1,5e+05
"605",1972,1,9,2,5,21,NA,2,3,22000
"606",1955,1,9,2,9,9,3,2,4,-8
"607",1945,2,9,1,9,15,1,2,4,35000
"608",1945,2,9,-9,7,1,1,2,8,23000
"609",1957,2,9,-9,7,21,NA,2,2,1e+05
"610",1961,2,9,-8,8,21,NA,2,3,-8
"611",1948,1,9,2,-9,22,1,2,4,120000
"612",1965,1,9,-9,7,21,NA,13,5,120000
"613",1975,2,9,-9,4,21,NA,2,1,-9
"614",1965,1,9,3,4,6,2,2,7,-9
"615",1986,2,9,2,3,10,1,7,3,93000
"616",1936,2,9,2,9,6,1,2,4,-8
"617",1967,2,9,-8,7,-8,1,2,3,-8
"618",1970,1,9,2,7,21,NA,2,2,-8
"619",1960,2,9,2,6,22,1,2,1,-8
"620",1963,1,9,5,9,21,NA,2,1,1e+05
"621",1977,1,5,-9,9,21,NA,2,1,105000
"622",1957,1,5,-9,5,6,4,2,2,-8
"623",1960,1,5,4,7,6,2,2,3,30000
"624",1951,2,5,-9,7,6,2,2,4,45000
"625",1985,2,5,-9,9,6,2,2,3,45000
"626",1953,1,5,-9,6,6,4,1,4,25000
"627",1960,2,5,2,6,6,3,2,11,30000
"628",1956,1,5,-9,9,6,4,2,3,158000
"629",1968,2,5,1,9,6,4,2,1,65000
"630",1982,2,5,-9,10,6,2,2,1,150000
"631",1948,2,5,1,8,6,2,2,4,0
"632",1954,2,5,4,6,6,2,1,4,60000
"633",1951,2,5,-9,3,6,2,1,4,55000
"634",1959,1,5,-8,3,6,2,2,4,-8
"635",1968,2,5,1,9,6,1,13,12,60000
"636",1982,1,5,1,5,6,4,2,3,2e+05
"637",1948,2,5,-8,7,-8,-8,2,4,-8
"638",1975,2,5,1,7,8,1,2,3,-8
"639",1975,1,5,1,9,21,NA,2,1,180000
"640",1962,1,5,1,10,6,2,2,3,70000
"641",1984,1,5,2,11,6,4,2,1,130000
"642",1937,1,5,2,9,6,3,5,4,54000
"643",1949,1,5,-8,9,6,2,2,4,50000
"644",1960,2,5,1,7,6,2,2,3,60000
"645",1970,1,5,4,7,6,3,2,1,180000
"646",1948,2,5,-9,7,6,2,5,4,26000
"647",1939,2,5,-9,3,-9,NA,2,4,-9
"648",1943,2,5,1,6,6,3,2,4,-8
"649",1958,2,5,-9,5,6,3,2,1,75000
"650",1950,2,5,-9,6,6,4,2,4,35000
"651",1980,2,5,1,8,15,3,2,1,2e+05
"652",1972,2,5,-9,9,6,4,2,1,230000
"653",1954,1,5,1,9,21,NA,13,4,0
"654",1981,2,5,-9,5,6,3,2,1,-8
"655",1980,2,5,5,10,6,2,2,2,42000
"656",1979,2,5,-9,9,6,3,2,1,110000
"657",1927,2,5,4,9,6,2,2,4,36000
"658",1945,2,5,7,5,6,1,2,4,22000
"659",1943,1,5,-8,3,6,3,2,11,36000
"660",1956,1,5,NA,5,6,3,2,2,23000
"661",1966,1,5,-9,7,6,3,2,1,130000
"662",1954,1,5,-9,11,21,NA,2,1,250000
"663",1988,2,5,-9,7,6,3,2,1,35000
"664",1978,1,5,5,10,21,NA,2,1,3e+05
"665",1937,1,5,-9,3,6,2,2,4,-9
"666",1968,1,5,-9,9,6,4,2,1,50000
"667",1938,2,5,3,-9,21,NA,2,11,19000
"668",1972,1,1,1,7,6,2,2,1,130000
"669",1967,1,1,NA,7,1,-9,2,3,-8
"670",1996,2,6,2,9,8,2,13,9,-8
"671",1967,2,1,3,9,6,2,2,4,-8
"672",1941,1,1,-9,8,6,1,2,11,60000
"673",2000,1,1,1,8,21,NA,2,6,-8
"674",1975,1,1,2,7,6,2,2,1,-8
"675",1969,2,1,-9,7,6,3,2,1,80000
"676",1980,2,1,-9,4,1,2,2,3,65000
"677",1982,1,9,2,7,12,2,2,2,120000
"678",1970,1,1,2,7,1,3,2,3,180000
"679",1981,2,1,-9,9,4,1,2,1,-8
"680",1951,2,1,1,7,1,2,2,4,45000
"681",1956,1,1,1,6,6,2,2,4,75000
"682",1977,2,1,3,9,1,2,2,10,74000
"683",1974,2,1,3,11,21,NA,2,1,3e+05
"684",1961,1,1,-9,7,6,1,2,1,-9
"685",1989,2,1,-9,11,21,NA,2,1,65000
"686",1993,1,2,5,9,21,NA,2,1,50000
"687",1957,2,2,-9,6,6,1,2,1,1e+05
"688",1987,1,2,-9,5,21,NA,2,5,32000
"689",1996,2,10,-9,9,14,3,2,1,20000
"690",1996,1,2,-9,6,21,NA,2,6,49000
"691",1964,1,2,1,6,21,NA,2,1,160000
"692",1988,1,2,-9,8,6,3,2,1,95000
"693",1948,1,6,1,5,21,NA,2,4,130000
"694",1969,2,2,-9,10,6,1,2,1,-9
"695",1962,1,2,1,9,9,2,2,3,-8
"696",1941,1,3,-9,8,6,2,2,4,-9
"697",1959,2,2,1,8,21,NA,2,4,-9
"698",1977,1,2,NA,4,14,1,2,3,96000
"699",1988,2,2,2,6,4,1,2,7,-9
"700",1989,2,2,-9,9,21,NA,2,1,57000
"701",1992,2,2,-9,7,21,NA,2,1,-9
"702",1969,1,2,-9,9,6,2,2,1,-8
"703",1968,2,2,5,7,6,-9,2,1,-8
"704",1959,2,2,1,9,12,1,2,4,57000
"705",1943,2,2,1,10,12,3,2,4,70000
"706",1974,1,2,1,9,21,NA,2,2,50000
"707",1959,1,2,-9,4,9,2,2,2,150000
"708",1952,2,2,1,7,12,2,2,11,280000
"709",1984,1,2,-9,9,6,3,2,1,-9
"710",1953,2,6,2,10,3,1,2,4,80000
"711",1969,1,3,-9,4,3,3,2,1,74000
"712",1957,1,3,1,9,6,2,2,3,-8
"713",1956,2,3,9,9,14,1,2,7,21000
"714",1953,1,3,1,7,6,3,2,4,128000
"715",1976,1,3,1,7,21,NA,2,1,150000
"716",1972,2,3,1,9,6,3,13,9,25000
"717",1943,1,3,-8,9,21,NA,2,4,-8
"718",1954,1,3,1,5,6,2,2,4,60000
"719",1997,1,3,3,5,21,NA,2,2,35000
"720",1980,2,3,-9,10,6,4,2,1,160000
"721",1993,1,3,3,7,9,3,2,6,1e+05
"722",1933,1,3,-9,4,17,1,2,4,30000
"723",1969,2,3,2,11,4,1,2,1,80000
"724",1991,2,3,3,7,21,NA,2,1,43000
"725",1958,1,3,5,5,9,2,2,5,60000
"726",1943,1,3,1,11,9,1,2,4,75000
"727",1977,1,3,2,7,21,NA,2,1,78000
"728",1946,2,4,2,5,12,2,2,4,1e+05
"729",1994,2,4,1,9,21,NA,2,1,-9
"730",1953,1,4,5,9,6,2,2,4,18000
"731",1995,1,4,2,7,4,2,2,1,-8
"732",1974,2,4,2,7,3,1,2,1,50000
"733",1989,1,4,5,7,21,NA,2,3,-9
"734",1996,1,4,1,9,14,3,2,5,-9
"735",1998,2,3,5,8,21,NA,2,6,10000
"736",1951,1,4,-8,7,12,1,2,11,-8
"737",1999,2,4,1,5,3,1,3,2,-8
"738",1980,1,5,-9,9,21,NA,2,1,150000
"739",1985,1,5,-9,5,6,4,2,6,55000
"740",1964,1,5,-8,9,2,3,13,3,-8
"741",1991,1,5,1,10,2,4,13,3,1e+05
"742",1961,2,5,1,7,6,2,8,12,31000
"743",1976,2,5,4,10,6,3,2,3,2e+05
"744",1973,2,5,-9,7,6,3,2,1,110000
"745",1969,1,5,1,7,21,NA,2,3,0
"746",1986,1,5,6,9,6,3,2,2,850000
"747",1953,1,5,1,9,21,NA,13,4,90000
"748",1980,2,5,-9,7,6,4,2,2,29000
"749",1960,1,5,-9,6,6,4,2,1,2e+05
"750",1992,1,5,-9,9,21,NA,13,1,50000
"751",1960,1,5,-9,9,6,2,2,1,0
"752",1984,2,5,-9,10,21,NA,2,1,78000
"753",1959,1,5,1,10,21,NA,13,7,96000
"754",1985,1,5,NA,5,21,NA,2,7,20000
"755",1980,1,5,-9,9,21,NA,2,1,250000
"756",1953,1,5,6,5,6,1,1,3,40000
"757",1965,2,5,1,9,21,NA,2,2,4e+05
"758",1971,1,5,2,3,6,3,2,3,160000
"759",1956,1,5,-9,11,21,NA,2,4,160000
"760",1988,1,5,7,5,6,4,2,3,42000
"761",1965,1,5,2,6,6,3,2,1,1e+05
"762",1999,1,5,-9,4,6,4,2,1,-9
"763",1980,1,5,-9,7,21,NA,2,3,130000
"764",1995,2,5,1,9,21,NA,13,1,-9
"765",1988,2,5,6,9,-8,1,5,3,-9
"766",1948,1,5,1,3,6,3,2,1,-8
"767",1981,2,5,1,9,6,2,2,1,90000
"768",1996,1,5,2,7,21,NA,2,1,1e+05
"769",1964,2,5,1,6,6,3,2,4,450000
"770",1978,1,5,-9,3,6,3,2,3,120000
"771",1949,1,5,-8,11,-9,2,-8,2,-8
"772",1965,1,5,5,7,6,3,2,1,30000
"773",1979,1,5,-9,5,21,NA,2,3,70000
"774",1955,2,5,-8,10,21,NA,2,4,160000
"775",1965,1,5,-9,5,6,2,2,1,45000
"776",1977,1,5,3,9,2,2,13,1,160000
"777",1979,1,5,1,7,6,3,13,1,23000
"778",1998,1,5,5,7,-9,NA,2,9,-9
"779",1969,1,5,-8,5,-8,4,13,2,-9
"780",1951,2,5,1,9,6,4,2,4,-8
"781",1981,1,5,1,10,21,NA,5,1,2e+05
"782",1975,1,5,3,7,6,4,5,1,130000
"783",1974,1,5,2,5,6,3,2,1,80000
"784",2000,1,5,-9,5,21,NA,13,6,49000
"785",2000,2,5,-9,7,6,4,13,6,10000
"786",1988,2,5,1,7,21,NA,13,1,65000
"787",1979,2,5,4,9,21,NA,2,1,80000
"788",1974,1,5,2,10,21,NA,13,1,330000
"789",1997,1,6,-9,7,6,1,13,9,60000
"790",1957,1,5,-9,3,6,2,2,1,-8
"791",1991,2,5,1,9,2,1,13,6,-8
"792",1989,1,5,1,10,6,4,2,1,250000
"793",1955,1,5,1,10,6,4,2,4,75000
"794",1963,2,5,-9,6,21,NA,2,1,120000
"795",1983,2,5,1,10,14,1,13,1,30000
"796",1945,1,5,2,4,6,1,2,1,38000
"797",1991,2,5,5,5,21,NA,5,2,105000
"798",1948,1,5,NA,9,6,2,2,4,50000
"799",1964,2,5,-9,7,6,4,2,1,-8
"800",1989,1,5,3,9,21,NA,1,1,60000
"801",1976,2,5,1,7,15,2,2,1,35000
"802",1999,2,5,1,6,2,1,2,6,-9
"803",1972,1,5,1,10,6,1,13,1,36000
"804",1943,2,5,-9,5,6,2,2,4,0
"805",1980,1,5,3,7,21,NA,2,1,140000
"806",1992,2,5,5,9,21,NA,2,9,40000
"807",1961,1,5,1,3,14,1,2,12,-9
"808",1950,1,5,-9,5,6,3,2,2,1000
"809",1985,2,5,1,9,21,NA,2,1,50000
"810",1975,2,5,2,7,6,2,2,1,160000
"811",1990,1,5,-9,10,21,NA,2,1,120000
"812",1980,2,5,2,10,21,NA,2,1,56000
"813",1952,1,5,-9,9,6,4,2,4,40000
"814",1991,1,5,2,7,9,2,2,5,30000
"815",1964,1,5,-9,7,21,NA,2,1,-8
"816",1949,1,5,1,10,21,NA,2,4,150000
"817",1980,2,5,-9,7,6,4,2,1,60000
"818",1964,1,5,2,9,9,2,4,3,1e+05
"819",1969,2,5,-8,9,6,4,2,1,2e+05
"820",1958,1,5,4,9,6,3,2,1,60000
"821",1967,1,5,2,5,1,1,2,2,80000
"822",1974,1,6,1,9,5,4,2,1,80000
"823",1980,1,5,-9,11,21,NA,13,6,10000
"824",1979,1,5,5,10,21,NA,2,1,150000
"825",1977,2,5,1,9,6,2,13,1,50000
"826",1972,2,5,-9,9,6,3,2,1,40000
"827",1996,1,5,4,4,21,NA,2,1,-9
"828",1993,1,5,2,9,21,NA,2,1,14000
"829",1997,1,6,3,9,21,NA,2,9,110000
"830",1968,2,6,3,9,6,1,13,1,34000
"831",1956,2,6,2,9,-9,4,5,3,110000
"832",1959,1,6,-9,8,14,2,2,1,115000
"833",1974,1,6,2,5,3,1,13,3,144000
"834",1971,2,5,NA,1,21,NA,13,-8,-8
"835",1952,1,4,5,10,9,2,2,4,60000
"836",1970,1,6,3,7,21,NA,2,1,159000
"837",1965,1,6,-9,5,12,2,2,1,110000
"838",1955,2,6,1,9,21,NA,2,1,120000
"839",1982,1,6,1,9,21,NA,2,3,85000
"840",1969,2,6,-9,9,12,2,2,3,180000
"841",1959,1,6,-9,7,6,2,13,10,1e+05
"842",1972,2,6,-9,9,21,NA,2,1,180000
"843",1965,1,6,-9,6,6,4,2,1,80000
"844",1973,2,6,3,11,21,NA,2,1,74000
"845",1985,2,6,-9,7,21,NA,2,1,60000
"846",1983,2,6,3,10,21,4,2,5,6000
"847",1984,1,6,2,5,16,1,2,3,1200000
"848",1962,1,6,1,11,21,NA,4,1,130000
"849",1950,2,6,-9,5,3,2,3,4,-8
"850",1973,1,6,2,7,9,3,2,1,180000
"851",1972,2,6,2,7,6,4,13,2,60000
"852",1958,2,6,1,10,7,2,2,1,230000
"853",1993,1,6,1,10,21,NA,4,9,50000
"854",1973,1,6,-8,10,2,2,13,1,140000
"855",1955,2,6,5,8,21,NA,2,11,150000
"856",1950,1,6,2,5,7,2,2,4,240000
"857",1973,1,6,1,7,21,NA,2,1,240000
"858",1983,1,6,-9,7,21,NA,2,1,125000
"859",1971,2,6,1,5,6,1,2,1,-9
"860",1979,2,6,-9,9,10,2,7,1,50000
"861",1966,2,6,1,6,1,1,2,4,-9
"862",1991,2,6,-9,8,14,2,2,1,210000
"863",1948,1,6,-9,9,22,1,2,4,78000
"864",1965,2,6,1,9,8,2,2,1,-8
"865",1992,2,6,-9,9,21,NA,2,1,90000
"866",1973,2,6,NA,7,-8,1,13,7,40000
"867",1947,2,6,1,9,-8,-8,2,11,-8
"868",1972,1,6,2,8,3,2,2,1,126000
"869",1975,2,6,3,10,22,1,2,1,140000
"870",1959,1,6,2,7,17,2,6,1,155000
"871",1984,1,6,1,9,21,NA,2,1,-8
"872",1993,1,6,1,9,22,2,2,2,120000
"873",1994,2,6,3,5,2,2,13,9,20000
"874",1976,2,6,-8,8,21,NA,2,9,160000
"875",1951,2,6,-9,9,9,2,2,1,112000
"876",1956,1,6,1,9,9,3,2,2,80000
"877",1959,1,6,NA,7,-8,1,-8,1,25000
"878",1969,2,6,1,6,21,NA,13,3,71000
"879",1962,2,6,2,7,6,2,10,4,29000
"880",1945,1,6,1,7,21,NA,13,4,-8
"881",1971,1,4,1,10,6,2,2,1,1e+05
"882",1981,1,6,-8,10,21,NA,2,1,240000
"883",1995,2,6,-8,9,21,NA,2,1,5e+05
"884",1969,1,6,1,7,22,3,2,1,57000
"885",1977,1,6,2,5,21,NA,2,1,120000
"886",1974,1,6,2,7,6,3,2,1,90000
"887",1953,1,6,2,5,22,2,2,11,150000
"888",1959,2,6,-9,10,-8,-8,2,1,-8
"889",1967,1,6,-9,5,16,1,2,1,205000
"890",1996,1,6,1,5,-9,3,2,6,2e+05
"891",1990,1,6,9,9,21,NA,2,1,80000
"892",1979,2,6,1,9,6,2,2,1,140000
"893",1999,1,6,2,8,21,NA,2,6,2e+05
"894",1967,1,6,1,9,-8,1,-8,1,-8
"895",1949,2,6,-8,9,6,2,13,4,50000
"896",1972,1,6,2,7,14,1,2,3,-9
"897",1955,1,6,2,8,21,NA,2,3,110000
"898",1977,1,6,1,9,6,1,2,1,105000
"899",1978,2,6,1,5,2,1,13,1,25000
"900",1990,2,6,5,9,21,NA,2,1,56000
"901",1958,1,6,-9,9,6,1,2,3,65000
"902",1957,2,6,-8,8,6,2,2,4,-8
"903",1990,2,6,-9,9,21,NA,2,2,40000
"904",1970,2,6,2,9,21,NA,2,1,0
"905",1986,1,6,-9,5,6,2,13,1,180000
"906",1952,1,6,2,5,21,NA,2,11,50000
"907",1978,2,6,-9,7,6,1,13,1,130000
"908",1998,2,6,1,6,6,4,2,3,2e+05
"909",1951,2,6,3,5,3,2,2,8,19000
"910",1980,1,6,2,9,21,NA,2,3,-8
"911",1995,1,6,1,9,21,NA,2,1,155000
"912",1951,2,6,1,9,6,1,8,4,-8
"913",1953,2,6,-9,7,1,3,2,4,45000
"914",1992,1,6,1,9,21,NA,2,1,40000
"915",1978,2,6,1,9,21,NA,2,1,75000
"916",1974,2,6,3,7,21,NA,2,3,40000
"917",1958,1,6,-9,9,21,NA,2,4,150000
"918",1968,1,6,1,4,6,1,13,1,120000
"919",1972,2,6,3,9,21,NA,2,1,80000
"920",1962,2,6,2,-9,15,2,13,3,1e+05
"921",1963,1,6,-9,6,22,2,13,1,1e+05
"922",1944,2,6,1,7,21,NA,13,4,-9
"923",1969,1,6,1,9,21,NA,13,1,150000
"924",1969,2,6,1,9,15,3,2,1,-8
"925",1934,2,6,1,4,21,NA,2,4,40000
"926",1985,2,6,2,9,6,2,2,1,150000
"927",1974,2,6,1,11,9,1,13,3,0
"928",1965,1,6,-8,9,21,NA,2,12,175000
"929",1971,1,6,1,8,6,4,2,3,1e+05
"930",1952,1,6,2,9,6,2,2,4,1e+05
"931",1947,1,6,1,9,14,2,2,4,175000
"932",1943,1,6,1,11,14,2,2,11,-8
"933",1964,2,6,3,11,21,NA,2,1,2e+05
"934",1998,1,6,3,5,21,NA,2,2,-8
"935",1969,1,6,-9,9,6,1,11,1,180000
"936",1971,1,10,5,6,21,NA,2,8,25000
"937",1966,1,10,2,5,6,3,2,1,130000
"938",1984,2,10,-9,5,6,1,2,7,180000
"939",1974,2,10,-9,6,14,2,2,3,160000
"940",1995,1,10,2,9,6,1,2,1,1e+05
"941",1987,2,10,5,9,21,NA,2,1,110000
"942",1991,2,10,3,9,21,NA,4,1,67000
"943",1968,2,10,3,5,6,2,2,8,230000
"944",1985,1,10,2,6,6,2,10,5,96000
"945",1947,2,10,1,5,6,1,13,11,51000
"946",1978,1,10,5,7,21,NA,2,1,150000
"947",1979,2,10,5,9,21,NA,2,1,205000
"948",1995,1,10,1,9,21,NA,2,1,-9
"949",1956,2,10,1,7,6,1,13,3,130000
"950",1994,1,10,3,2,5,1,2,3,120000
"951",1973,2,10,5,7,6,2,2,1,1e+05
"952",1980,2,10,1,9,14,2,2,2,70000
"953",1984,1,10,-9,9,21,NA,4,1,120000
"954",2001,1,10,1,5,21,NA,3,2,-9
"955",1947,1,10,2,9,6,3,2,4,-9
"956",1978,1,10,3,11,21,NA,3,1,175000
"957",1993,1,10,-8,5,-8,2,2,1,-8
"958",1969,1,10,7,7,14,1,2,1,96000
"959",2001,1,10,2,8,21,NA,2,6,2e+05
"960",1950,1,10,5,5,6,2,2,4,18000
"961",1993,1,10,6,7,21,NA,2,3,46000
"962",1956,2,10,-9,10,1,2,13,1,113000
"963",1992,3,10,3,5,21,NA,2,3,70000
"964",1990,2,10,-9,9,21,NA,6,1,50000
"965",1997,2,10,-9,7,-8,3,2,12,-9
"966",1965,1,10,1,9,8,2,13,1,2e+05
"967",1968,1,10,-9,9,14,1,2,1,225000
"968",1987,2,10,3,7,21,NA,2,3,10000
"969",1943,1,10,1,11,21,NA,13,4,80000
"970",1962,1,10,5,7,21,NA,2,1,130000
"971",1959,1,10,2,9,4,1,12,3,60000
"972",2000,2,10,5,5,21,NA,2,3,-9
"973",1959,1,10,2,8,3,1,13,1,150000
"974",1970,1,10,2,9,-8,-8,2,3,-8
"975",1980,1,10,1,5,5,1,13,3,120000
"976",1988,1,10,5,9,21,NA,2,3,30000
"977",1990,1,10,1,9,21,NA,2,1,75000
"978",1971,1,10,2,5,21,NA,2,3,68000
"979",1953,2,10,2,8,14,2,2,4,1e+05
"980",1986,1,10,2,6,14,1,2,1,2e+05
"981",1973,1,10,1,9,2,1,13,1,50000
"982",1947,2,10,1,7,21,NA,12,4,13000
"983",1973,2,6,-9,9,6,3,2,1,0
"984",1973,1,10,5,9,21,NA,2,1,0
"985",1950,1,10,2,7,-8,3,2,1,-8
"986",1974,2,10,1,10,-8,-8,2,1,-8
"987",1969,2,10,-8,5,3,1,2,3,140000
"988",1980,1,10,2,9,21,NA,2,1,181000
"989",1982,1,10,2,9,21,NA,2,9,22000
"990",1986,1,10,1,10,2,1,7,3,40000
"991",1979,2,10,1,9,21,NA,2,3,-9
"992",1965,1,10,2,9,4,1,7,1,130000
"993",1976,1,10,2,11,21,NA,2,1,260000
"994",1997,1,10,3,7,5,3,2,1,-9
"995",1995,1,10,3,9,-8,3,2,1,67000
"996",1962,1,10,2,9,1,2,13,1,850000
"997",1985,1,10,3,7,14,1,2,1,122000
"998",1992,1,9,10,10,6,2,2,1,120000
"999",1963,2,10,3,7,21,NA,2,1,130000
"1000",1975,1,10,-9,5,4,1,2,1,128000
"1001",1979,2,10,1,7,21,NA,2,1,87000
"1002",1964,1,10,2,9,9,1,2,1,-8
"1003",1975,2,10,-9,6,21,NA,13,1,95000
"1004",1937,1,10,1,10,6,3,2,4,1e+05
"1005",1971,1,10,2,9,8,2,2,3,250000
"1006",1957,1,10,1,5,21,NA,2,1,65000
"1007",1961,1,10,NA,4,1,1,2,3,40000
"1008",1995,1,10,2,9,6,3,4,2,10000
"1009",1996,1,10,1,9,21,NA,2,1,1e+05
"1010",1948,2,9,-9,7,21,NA,2,4,160000
"1011",1960,1,9,-8,7,1,1,2,8,-8
"1012",1952,2,9,-9,7,12,1,2,4,65000
"1013",1987,2,9,-9,5,9,1,2,1,150000
"1014",1963,1,9,2,9,14,1,2,1,187000
"1015",1999,1,10,-9,8,21,NA,2,6,0
"1016",1968,1,9,2,7,9,3,2,1,-8
"1017",1955,1,9,5,9,14,2,2,3,50000
"1018",1978,1,9,-9,10,9,2,2,3,150000
"1019",1982,1,9,2,10,17,2,2,1,110000
"1020",1954,1,9,-9,5,12,2,2,5,80000
"1021",1946,1,10,-9,7,21,NA,2,4,0
"1022",1993,1,9,2,9,21,NA,2,1,180000
"1023",1945,2,9,3,9,17,2,2,4,-9
"1024",1982,2,9,2,11,14,2,2,3,250000
"1025",1961,1,9,2,5,17,4,2,1,150000
"1026",1974,1,9,-8,9,21,NA,3,1,115000
"1027",1986,2,9,1,9,11,2,13,1,50000
"1028",1988,1,9,-9,7,21,NA,2,1,2120000
"1029",1986,1,9,2,10,21,NA,2,1,142000
"1030",1996,2,9,3,8,21,NA,2,6,-9
"1031",1955,1,9,2,7,9,4,2,3,-8
"1032",1980,1,9,2,5,14,2,2,1,110000
"1033",1987,2,9,1,10,21,NA,2,1,74000
"1034",1940,1,9,1,11,6,1,2,4,5e+05
"1035",1988,1,10,-9,9,14,2,2,1,0
"1036",1983,2,9,1,9,-8,1,13,2,70000
"1037",1977,1,9,-9,7,12,2,2,10,120000
"1038",1966,1,9,-9,5,6,2,2,10,-8
"1039",1975,1,9,2,4,21,NA,2,1,150000
"1040",1984,2,9,2,7,21,NA,13,10,-8
"1041",1978,1,9,2,4,8,1,1,1,1e+05
"1042",1963,2,9,2,8,14,2,2,4,-9
"1043",1987,1,9,2,9,17,2,2,1,180000
"1044",1976,1,9,2,6,21,NA,2,1,97000
"1045",1946,1,9,-9,7,2,1,13,1,30000
"1046",1962,1,9,NA,4,20,1,13,1,52000
"1047",1959,2,9,2,7,14,2,2,3,-8
"1048",1951,1,9,2,7,6,1,2,4,-8
"1049",1968,1,9,2,7,22,2,2,3,0
"1050",1983,1,9,-9,9,21,NA,2,1,130000
"1051",1990,2,9,2,7,21,NA,2,5,140000
"1052",1964,1,9,2,7,9,3,2,8,-9
"1053",1960,1,9,-9,7,21,NA,2,1,75000
"1054",1970,2,9,-9,7,6,2,2,5,305000
"1055",1994,1,9,3,7,21,NA,2,1,65000
"1056",1983,1,9,2,7,21,NA,3,1,110000
"1057",1946,1,9,2,11,9,4,2,4,-8
"1058",1980,1,7,3,5,12,3,2,1,-8
"1059",1958,1,7,2,10,-9,NA,2,4,76000
"1060",1969,1,7,-9,7,6,2,2,1,120000
"1061",1979,2,7,2,9,21,NA,2,1,0
"1062",1980,2,7,-8,11,-8,-8,2,3,-8
"1063",1985,1,7,2,9,8,2,2,1,3e+05
"1064",1966,2,7,3,7,14,1,13,1,60000
"1065",1979,1,7,2,7,21,NA,2,1,102000
"1066",1976,2,7,-9,8,21,NA,2,1,85000
"1067",1978,1,7,-8,9,21,NA,2,1,180000
"1068",1967,2,7,3,7,12,2,2,3,60000
"1069",1963,1,7,10,10,21,NA,2,3,350000
"1070",1974,1,7,-9,9,15,3,2,3,1e+05
"1071",1996,1,7,2,4,21,NA,2,5,50000
"1072",1995,1,7,3,8,21,NA,2,1,-9
"1073",1969,2,7,3,9,22,2,2,8,0
"1074",1956,2,7,2,9,6,3,2,3,180000
