"","age","sex","education","has_religion","religion_importance","income_family","employment","born_canada","province","n"
"3110",40,"Male","Less than high school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"3111",40,"Male","Less than high school","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"3112",40,"Male","Less than high school","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Quebec",1
"3113",40,"Male","Less than high school","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"3114",40,"Male","Trade diploma","No","Not important at all","$125,000 and more","unemployement","born in Canada","Nova Scotia",1
"3115",40,"Male","Trade diploma","No","Not important at all","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"3116",40,"Male","Trade diploma","No","Not important at all","$75,000 to $99,999","employement","born in Canada","Prince Edward Island",1
"3117",40,"Male","Trade diploma","No","Not very important","$125,000 and more","employement","born in Canada","Saskatchewan",1
"3118",40,"Male","Trade diploma","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Quebec",1
"3119",40,"Male","Trade diploma","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"3120",40,"Male","Trade diploma","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"3121",40,"Male","Trade diploma","Yes","Not very important","$125,000 and more","employement","born in Canada","Quebec",1
"3122",40,"Male","Trade diploma","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"3123",40,"Male","Trade diploma","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Alberta",1
"3124",40,"Male","Trade diploma","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta",1
"3125",40,"Male","Trade diploma","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"3126",40,"Male","Trade diploma","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta",1
"3127",40,"Male","Trade diploma","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"3128",40,"Male","University","Yes","Not very important","$125,000 and more","employement","born in Canada","Quebec",1
"3129",40,"Male","University","Yes","Somewhat important","$50,000 to $74,999","unemployement","born outside canada","Quebec",1
"3130",40,"Male","University","Yes","Very important","$125,000 and more","employement","born outside canada","Saskatchewan",1
"3131",40,"Male","University","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Prince Edward Island",1
"3132",41,"Female","Above bachelor","No","Not very important","$125,000 and more","employement","born in Canada","Manitoba",1
"3133",41,"Female","Above bachelor","No","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"3134",41,"Female","Above bachelor","Yes","Not important at all","$125,000 and more","employement","born in Canada","Quebec",1
"3135",41,"Female","Above bachelor","Yes","Not very important","$125,000 and more","employement","born in Canada","Ontario",1
"3136",41,"Female","Above bachelor","Yes","Not very important","$125,000 and more","employement","born outside canada","Ontario",1
"3137",41,"Female","Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec",1
"3138",41,"Female","Above bachelor","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Prince Edward Island",1
"3139",41,"Female","Above bachelor","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec",2
"3140",41,"Female","Above bachelor","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Manitoba",1
"3141",41,"Female","Above bachelor","Yes","Very important","$125,000 and more","employement","born in Canada","New Brunswick",1
"3142",41,"Female","Above bachelor","Yes","Very important","$125,000 and more","employement","born in Canada","Ontario",1
"3143",41,"Female","Above bachelor","Yes","Very important","$125,000 and more","employement","born outside canada","British Columbia",1
"3144",41,"Female","Above bachelor","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Ontario",1
"3145",41,"Female","Above bachelor","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","Quebec",1
"3146",41,"Female","Above bachelor","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Saskatchewan",1
"3147",41,"Female","Above bachelor","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Manitoba",1
"3148",41,"Female","Bachelor degree","No","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Nova Scotia",1
"3149",41,"Female","Bachelor degree","No","Not important at all","$100,000 to $ 124,999","unemployement","born in Canada","British Columbia",1
"3150",41,"Female","Bachelor degree","No","Very important","$100,000 to $ 124,999","employement","born outside canada","British Columbia",1
"3151",41,"Female","Bachelor degree","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Nova Scotia",1
"3152",41,"Female","Bachelor degree","Yes","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"3153",41,"Female","Bachelor degree","Yes","Not important at all","$125,000 and more","employement","born outside canada","Quebec",1
"3154",41,"Female","Bachelor degree","Yes","Not important at all","$25,000 to $49,999","employement","born outside canada","Ontario",1
"3155",41,"Female","Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born outside canada","British Columbia",1
"3156",41,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","British Columbia",1
"3157",41,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba",1
"3158",41,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Nova Scotia",1
"3159",41,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"3160",41,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec",4
"3161",41,"Female","Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","New Brunswick",1
"3162",41,"Female","Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
"3163",41,"Female","Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Ontario",2
"3164",41,"Female","Bachelor degree","Yes","Very important","$125,000 and more","employement","born outside canada","Alberta",1
"3165",41,"Female","Bachelor degree","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Prince Edward Island",1
"3166",41,"Female","Bachelor degree","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Saskatchewan",1
"3167",41,"Female","Bachelor degree","Yes","Very important","$50,000 to $74,999","employement","born outside canada","British Columbia",1
"3168",41,"Female","Bachelor degree","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"3169",41,"Female","College","No","Not very important","$125,000 and more","employement","born in Canada","British Columbia",1
"3170",41,"Female","College","No","Not very important","$75,000 to $99,999","employement","born in Canada","Alberta",1
"3171",41,"Female","College","No","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"3172",41,"Female","College","No","Very important","$100,000 to $ 124,999","employement","born in Canada","British Columbia",1
"3173",41,"Female","College","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Ontario",1
"3174",41,"Female","College","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Quebec",1
"3175",41,"Female","College","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"3176",41,"Female","College","Yes","Not very important","$75,000 to $99,999","employement","born outside canada","Alberta",1
"3177",41,"Female","College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"3178",41,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","New Brunswick",1
"3179",41,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"3180",41,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Alberta",1
"3181",41,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Ontario",1
"3182",41,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Quebec",1
"3183",41,"Female","College","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Ontario",1
"3184",41,"Female","College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","British Columbia",1
"3185",41,"Female","College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Nova Scotia",1
"3186",41,"Female","College","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"3187",41,"Female","College","Yes","Somewhat important","$50,000 to $74,999","unemployement","born outside canada","Quebec",1
"3188",41,"Female","College","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"3189",41,"Female","College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Prince Edward Island",1
"3190",41,"Female","College","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta",1
"3191",41,"Female","College","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Prince Edward Island",1
"3192",41,"Female","College","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","Ontario",1
"3193",41,"Female","College","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Manitoba",1
"3194",41,"Female","College","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"3195",41,"Female","College","Yes","Very important","$75,000 to $99,999","employement","born in Canada","New Brunswick",1
"3196",41,"Female","College","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"3197",41,"Female","College","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Ontario",2
"3198",41,"Female","High school","No","Not important at all","$25,000 to $49,999","employement","born in Canada","British Columbia",1
"3199",41,"Female","High school","No","Not important at all","$25,000 to $49,999","employement","born outside canada","Quebec",1
"3200",41,"Female","High school","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Nova Scotia",1
"3201",41,"Female","High school","No","Not important at all","$75,000 to $99,999","employement","born in Canada","Ontario",1
"3202",41,"Female","High school","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"3203",41,"Female","High school","Yes","Not important at all","$100,000 to $ 124,999","employement","born outside canada","Manitoba",1
"3204",41,"Female","High school","Yes","Not very important","$125,000 and more","employement","born in Canada","Quebec",1
"3205",41,"Female","High school","Yes","Somewhat important","$100,000 to $ 124,999","employement","born outside canada","Quebec",1
"3206",41,"Female","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba",1
"3207",41,"Female","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"3208",41,"Female","High school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"3209",41,"Female","High school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Prince Edward Island",1
"3210",41,"Female","High school","Yes","Very important","$125,000 and more","employement","born in Canada","Nova Scotia",1
"3211",41,"Female","High school","Yes","Very important","$125,000 and more","employement","born outside canada","Saskatchewan",1
"3212",41,"Female","High school","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Quebec",1
"3213",41,"Female","High school","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Saskatchewan",1
"3214",41,"Female","High school","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"3215",41,"Female","Less than high school","No","Not important at all","$25,000 to $49,999","employement","born outside canada","British Columbia",1
"3216",41,"Female","Less than high school","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Quebec",1
"3217",41,"Female","Trade diploma","No","Very important","$100,000 to $ 124,999","employement","born in Canada","Saskatchewan",1
"3218",41,"Female","Trade diploma","Yes","Not important at all","$125,000 and more","employement","born in Canada","Prince Edward Island",1
"3219",41,"Female","Trade diploma","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Quebec",1
"3220",41,"Female","Trade diploma","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"3221",41,"Female","Trade diploma","Yes","Not very important","$125,000 and more","employement","born in Canada","Saskatchewan",1
"3222",41,"Female","Trade diploma","Yes","Somewhat important","$100,000 to $ 124,999","employement","born outside canada","Quebec",1
"3223",41,"Female","Trade diploma","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"3224",41,"Female","Trade diploma","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","New Brunswick",1
"3225",41,"Female","Trade diploma","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Saskatchewan",1
"3226",41,"Female","Trade diploma","Yes","Very important","$125,000 and more","employement","born in Canada","British Columbia",1
"3227",41,"Female","Trade diploma","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Alberta",1
"3228",41,"Female","University","Yes","Not important at all","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
"3229",41,"Female","University","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"3230",41,"Female","University","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba",1
"3231",41,"Female","University","Yes","Very important","$125,000 and more","employement","born outside canada","Quebec",1
"3232",41,"Female","University","Yes","Very important","Less than $25,000","employement","born outside canada","Ontario",1
"3233",41,"Male","Above bachelor","No","Not important at all","$125,000 and more","employement","born outside canada","Ontario",1
"3234",41,"Male","Above bachelor","No","Not very important","$125,000 and more","employement","born in Canada","Quebec",1
"3235",41,"Male","Above bachelor","No","Not very important","$75,000 to $99,999","unemployement","born outside canada","Ontario",1
"3236",41,"Male","Above bachelor","Yes","Not important at all","$125,000 and more","employement","born in Canada","British Columbia",1
"3237",41,"Male","Above bachelor","Yes","Not important at all","$125,000 and more","unemployement","born outside canada","Ontario",1
"3238",41,"Male","Above bachelor","Yes","Not very important","$125,000 and more","unemployement","born outside canada","Ontario",1
"3239",41,"Male","Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","New Brunswick",1
"3240",41,"Male","Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"3241",41,"Male","Above bachelor","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Ontario",1
"3242",41,"Male","Above bachelor","Yes","Somewhat important","$75,000 to $99,999","employement","born outside canada","Alberta",1
"3243",41,"Male","Above bachelor","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"3244",41,"Male","Above bachelor","Yes","Very important","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
"3245",41,"Male","Above bachelor","Yes","Very important","$100,000 to $ 124,999","unemployement","born outside canada","Ontario",1
"3246",41,"Male","Above bachelor","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta",2
"3247",41,"Male","Above bachelor","Yes","Very important","$125,000 and more","employement","born in Canada","British Columbia",1
"3248",41,"Male","Above bachelor","Yes","Very important","$125,000 and more","unemployement","born in Canada","Ontario",1
"3249",41,"Male","Above bachelor","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","Alberta",1
"3250",41,"Male","Bachelor degree","No","Not important at all","$100,000 to $ 124,999","employement","born in Canada","British Columbia",1
"3251",41,"Male","Bachelor degree","No","Not important at all","$125,000 and more","employement","born outside canada","British Columbia",1
"3252",41,"Male","Bachelor degree","No","Not very important","$125,000 and more","employement","born in Canada","New Brunswick",1
"3253",41,"Male","Bachelor degree","No","Not very important","$125,000 and more","employement","born in Canada","Ontario",1
"3254",41,"Male","Bachelor degree","No","Somewhat important","Less than $25,000","employement","born in Canada","Ontario",1
"3255",41,"Male","Bachelor degree","Yes","Not very important","$100,000 to $ 124,999","employement","born outside canada","Quebec",1
"3256",41,"Male","Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","New Brunswick",1
"3257",41,"Male","Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Quebec",3
"3258",41,"Male","Bachelor degree","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"3259",41,"Male","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Prince Edward Island",1
"3260",41,"Male","Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"3261",41,"Male","Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Prince Edward Island",1
"3262",41,"Male","Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","unemployement","born outside canada","Quebec",1
"3263",41,"Male","Bachelor degree","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","British Columbia",1
"3264",41,"Male","Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta",1
"3265",41,"Male","Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Quebec",1
"3266",41,"Male","Bachelor degree","Yes","Very important","$125,000 and more","employement","born outside canada","Ontario",1
"3267",41,"Male","Bachelor degree","Yes","Very important","$125,000 and more","unemployement","born outside canada","Ontario",1
"3268",41,"Male","Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","Ontario",1
"3269",41,"Male","College","No","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"3270",41,"Male","College","No","Not important at all","$75,000 to $99,999","unemployement","born in Canada","New Brunswick",1
"3271",41,"Male","College","No","Not very important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"3272",41,"Male","College","No","Somewhat important","$25,000 to $49,999","employement","born in Canada","British Columbia",1
"3273",41,"Male","College","No","Somewhat important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"3274",41,"Male","College","No","Very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"3275",41,"Male","College","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Saskatchewan",1
"3276",41,"Male","College","Yes","Not important at all","$125,000 and more","employement","born in Canada","Quebec",1
"3277",41,"Male","College","Yes","Not important at all","Less than $25,000","employement","born in Canada","Ontario",1
"3278",41,"Male","College","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"3279",41,"Male","College","Yes","Not very important","$125,000 and more","employement","born in Canada","Ontario",3
"3280",41,"Male","College","Yes","Not very important","$125,000 and more","employement","born in Canada","Quebec",2
"3281",41,"Male","College","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","Quebec",2
"3282",41,"Male","College","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"3283",41,"Male","College","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Ontario",1
"3284",41,"Male","College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
"3285",41,"Male","College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born outside canada","Saskatchewan",1
"3286",41,"Male","College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","New Brunswick",1
"3287",41,"Male","College","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","New Brunswick",1
"3288",41,"Male","College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Alberta",1
"3289",41,"Male","College","Yes","Very important","$125,000 and more","employement","born in Canada","Quebec",1
"3290",41,"Male","College","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"3291",41,"Male","College","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Manitoba",1
"3292",41,"Male","College","Yes","Very important","Less than $25,000","employement","born outside canada","Quebec",1
"3293",41,"Male","High school","No","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"3294",41,"Male","High school","No","Not important at all","$25,000 to $49,999","employement","born in Canada","Ontario",1
"3295",41,"Male","High school","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Ontario",1
"3296",41,"Male","High school","No","Not important at all","$75,000 to $99,999","employement","born outside canada","Manitoba",1
"3297",41,"Male","High school","No","Not very important","$125,000 and more","employement","born in Canada","Alberta",1
"3298",41,"Male","High school","No","Not very important","$50,000 to $74,999","unemployement","born in Canada","British Columbia",1
"3299",41,"Male","High school","No","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Saskatchewan",1
"3300",41,"Male","High school","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"3301",41,"Male","High school","Yes","Not important at all","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
"3302",41,"Male","High school","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"3303",41,"Male","High school","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","Alberta",1
"3304",41,"Male","High school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"3305",41,"Male","High school","Yes","Not very important","$50,000 to $74,999","employement","born outside canada","British Columbia",1
"3306",41,"Male","High school","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Nova Scotia",1
"3307",41,"Male","High school","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Nova Scotia",1
"3308",41,"Male","High school","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Prince Edward Island",1
"3309",41,"Male","High school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Quebec",1
"3310",41,"Male","High school","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Ontario",1
"3311",41,"Male","High school","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"3312",41,"Male","High school","Yes","Very important","$100,000 to $ 124,999","employement","born outside canada","British Columbia",1
"3313",41,"Male","High school","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"3314",41,"Male","High school","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Saskatchewan",1
"3315",41,"Male","High school","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Manitoba",1
"3316",41,"Male","High school","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Alberta",1
"3317",41,"Male","High school","Yes","Very important","Less than $25,000","employement","born in Canada","New Brunswick",1
"3318",41,"Male","High school","Yes","Very important","Less than $25,000","employement","born in Canada","Saskatchewan",1
"3319",41,"Male","Less than high school","No","Not very important","$125,000 and more","employement","born outside canada","British Columbia",1
"3320",41,"Male","Less than high school","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Quebec",1
"3321",41,"Male","Less than high school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec",1
"3322",41,"Male","Less than high school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born outside canada","Ontario",1
"3323",41,"Male","Trade diploma","No","Not important at all","$125,000 and more","employement","born in Canada","Saskatchewan",1
"3324",41,"Male","Trade diploma","No","Very important","$100,000 to $ 124,999","employement","born in Canada","British Columbia",1
"3325",41,"Male","Trade diploma","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"3326",41,"Male","Trade diploma","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Ontario",1
"3327",41,"Male","Trade diploma","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Alberta",1
"3328",41,"Male","Trade diploma","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"3329",41,"Male","Trade diploma","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"3330",41,"Male","Trade diploma","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba",1
"3331",41,"Male","University","No","Not important at all","$125,000 and more","employement","born outside canada","British Columbia",1
"3332",41,"Male","University","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Manitoba",1
"3333",41,"Male","University","No","Very important","$125,000 and more","employement","born in Canada","British Columbia",1
"3334",41,"Male","University","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Alberta",1
"3335",41,"Male","University","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Manitoba",1
"3336",42,"Female","Above bachelor","No","Not important at all","$125,000 and more","employement","born in Canada","British Columbia",2
"3337",42,"Female","Above bachelor","No","Not important at all","$125,000 and more","employement","born outside canada","British Columbia",1
"3338",42,"Female","Above bachelor","Yes","Not important at all","$125,000 and more","employement","born outside canada","Ontario",1
"3339",42,"Female","Above bachelor","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Ontario",1
"3340",42,"Female","Above bachelor","Yes","Not very important","$125,000 and more","employement","born in Canada","Alberta",1
"3341",42,"Female","Above bachelor","Yes","Not very important","$75,000 to $99,999","unemployement","born in Canada","British Columbia",1
"3342",42,"Female","Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","New Brunswick",2
"3343",42,"Female","Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"3344",42,"Female","Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Ontario",1
"3345",42,"Female","Above bachelor","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"3346",42,"Female","Above bachelor","Yes","Somewhat important","$75,000 to $99,999","employement","born outside canada","Ontario",1
"3347",42,"Female","Above bachelor","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Nova Scotia",1
"3348",42,"Female","Above bachelor","Yes","Very important","$125,000 and more","employement","born in Canada","Ontario",1
"3349",42,"Female","Above bachelor","Yes","Very important","$125,000 and more","employement","born outside canada","Saskatchewan",1
"3350",42,"Female","Above bachelor","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Prince Edward Island",1
"3351",42,"Female","Above bachelor","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"3352",42,"Female","Bachelor degree","No","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Manitoba",1
"3353",42,"Female","Bachelor degree","No","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"3354",42,"Female","Bachelor degree","No","Not important at all","$125,000 and more","employement","born in Canada","Quebec",1
"3355",42,"Female","Bachelor degree","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Quebec",1
"3356",42,"Female","Bachelor degree","No","Not important at all","$75,000 to $99,999","employement","born in Canada","New Brunswick",1
"3357",42,"Female","Bachelor degree","No","Somewhat important","$125,000 and more","employement","born in Canada","New Brunswick",1
"3358",42,"Female","Bachelor degree","No","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"3359",42,"Female","Bachelor degree","No","Very important","$125,000 and more","employement","born in Canada","British Columbia",1
"3360",42,"Female","Bachelor degree","No","Very important","$75,000 to $99,999","employement","born in Canada","Alberta",1
"3361",42,"Female","Bachelor degree","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","New Brunswick",1
"3362",42,"Female","Bachelor degree","Yes","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"3363",42,"Female","Bachelor degree","Yes","Not important at all","$25,000 to $49,999","employement","born outside canada","Ontario",1
"3364",42,"Female","Bachelor degree","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"3365",42,"Female","Bachelor degree","Yes","Not very important","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
"3366",42,"Female","Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"3367",42,"Female","Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
"3368",42,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",6
"3369",42,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec",3
"3370",42,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Saskatchewan",1
"3371",42,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Alberta",1
"3372",42,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born outside canada","British Columbia",1
"3373",42,"Female","Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born outside canada","Ontario",1
"3374",42,"Female","Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","British Columbia",1
"3375",42,"Female","Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"3376",42,"Female","Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
"3377",42,"Female","Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta",2
"3378",42,"Female","Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","New Brunswick",1
"3379",42,"Female","Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Nova Scotia",1
