"","age","sex","vote_Liberal","education","has_religion","religion_importance","income_family","employment","born_canada","province"
"856",69,"Male",0,"High school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Quebec"
"868",47,"Male",0,"University","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Saskatchewan"
"869",44,"Female",0,"Above bachelor","Yes","Very important","$125,000 and more","employement","born in Canada","British Columbia"
"870",60,"Male",0,"College","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Manitoba"
"872",26,"Male",1,"Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"873",25,"Female",0,"High school","Yes","Somewhat important","Less than $25,000","unemployement","born outside canada","Quebec"
"876",63,"Male",1,"Bachelor degree","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Alberta"
"879",57,"Female",0,"College","Yes","Somewhat important","$25,000 to $49,999","unemployement","born outside canada","Manitoba"
"881",48,"Male",1,"Above bachelor","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","British Columbia"
"884",50,"Male",1,"College","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Manitoba"
"886",45,"Male",0,"College","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"887",66,"Male",0,"High school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Quebec"
"892",40,"Female",1,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"898",42,"Male",1,"Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"899",41,"Female",1,"High school","Yes","Very important","Less than $25,000","employement","born outside canada","Quebec"
"908",21,"Female",1,"Trade diploma","Yes","Not important at all","$125,000 and more","employement","born in Canada","Ontario"
"909",68,"Female",0,"High school","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Quebec"
"918",51,"Male",1,"Less than high school","Yes","Very important","$100,000 to $ 124,999","employement","born outside canada","New Brunswick"
"926",34,"Female",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"929",48,"Male",1,"University","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Saskatchewan"
"930",67,"Male",0,"Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Alberta"
"931",72,"Male",1,"Bachelor degree","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Alberta"
"937",53,"Male",0,"High school","Yes","Not very important","$125,000 and more","employement","born in Canada","Quebec"
"940",24,"Male",0,"Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"943",51,"Female",0,"High school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Quebec"
"944",34,"Male",0,"Trade diploma","Yes","Somewhat important","$75,000 to $99,999","unemployement","born outside canada","Ontario"
"945",72,"Female",1,"High school","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","Quebec"
"949",63,"Female",1,"College","Yes","Very important","$125,000 and more","employement","born outside canada","Manitoba"
"950",25,"Male",0,"Less than high school","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Prince Edward Island"
"951",46,"Female",0,"College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"952",39,"Female",1,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Alberta"
"958",50,"Male",0,"College","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"960",69,"Male",0,"High school","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Quebec"
"966",54,"Male",1,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Alberta"
"971",60,"Male",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Alberta"
"973",60,"Male",0,"University","Yes","Very important","$125,000 and more","employement","born outside canada","Saskatchewan"
"975",39,"Male",1,"High school","Yes","Very important","$100,000 to $ 124,999","employement","born outside canada","Quebec"
"979",66,"Female",0,"University","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Saskatchewan"
"980",33,"Male",0,"Trade diploma","Yes","Very important","$125,000 and more","employement","born in Canada","Ontario"
"981",46,"Male",1,"Bachelor degree","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Alberta"
"990",33,"Male",1,"Above bachelor","Yes","Very important","$25,000 to $49,999","employement","born outside canada","British Columbia"
"992",54,"Male",0,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born outside canada","Alberta"
"996",57,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Alberta"
"997",34,"Male",0,"College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"998",27,"Male",0,"Above bachelor","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","British Columbia"
"1004",82,"Male",1,"Above bachelor","Yes","Not very important","$100,000 to $ 124,999","unemployement","born in Canada","British Columbia"
"1005",48,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"1008",24,"Male",0,"Bachelor degree","Yes","Not very important","Less than $25,000","employement","born outside canada","Alberta"
"1014",56,"Male",0,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta"
"1017",64,"Male",0,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Alberta"
"1019",37,"Male",0,"Above bachelor","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","British Columbia"
"1025",58,"Male",0,"High school","Yes","Not important at all","$125,000 and more","employement","born in Canada","Quebec"
"1027",33,"Female",1,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Alberta"
"1032",39,"Male",0,"High school","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Quebec"
"1041",41,"Male",0,"Less than high school","Yes","Very important","$100,000 to $ 124,999","employement","born outside canada","New Brunswick"
"1043",32,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"1049",51,"Male",0,"College","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Manitoba"
"1063",34,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"1064",53,"Female",0,"College","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Manitoba"
"1068",52,"Female",0,"College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Manitoba"
"1073",50,"Female",0,"Bachelor degree","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Alberta"
"1074",63,"Female",0,"Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Alberta"
"1077",66,"Female",0,"High school","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Quebec"
"1078",74,"Female",0,"University","Yes","Not very important","$100,000 to $ 124,999","unemployement","born in Canada","Saskatchewan"
"1079",62,"Male",0,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta"
"1083",44,"Male",0,"Above bachelor","Yes","Not very important","$125,000 and more","employement","born in Canada","British Columbia"
"1089",27,"Male",1,"College","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"1090",49,"Male",0,"University","Yes","Very important","$125,000 and more","employement","born in Canada","Saskatchewan"
"1096",39,"Male",0,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"1097",54,"Male",0,"College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"1106",67,"Male",1,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"1109",43,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"1112",61,"Male",0,"College","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"1113",70,"Male",0,"Less than high school","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Prince Edward Island"
"1116",44,"Female",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Alberta"
"1119",30,"Male",0,"Trade diploma","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario"
"1122",27,"Male",0,"Above bachelor","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","British Columbia"
"1124",86,"Female",1,"Above bachelor","Yes","Very important","$125,000 and more","unemployement","born in Canada","British Columbia"
"1130",59,"Male",0,"Less than high school","Yes","Not important at all","$75,000 to $99,999","unemployement","born in Canada","New Brunswick"
"1134",38,"Male",1,"College","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Manitoba"
"1136",37,"Male",0,"High school","Yes","Very important","$125,000 and more","employement","born in Canada","Quebec"
"1137",72,"Male",1,"Less than high school","Yes","Not very important","$25,000 to $49,999","unemployement","born outside canada","Nova Scotia"
"1139",54,"Male",1,"Above bachelor","Yes","Somewhat important","Less than $25,000","employement","born in Canada","British Columbia"
"1144",48,"Male",0,"College","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Manitoba"
"1145",40,"Female",1,"College","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Manitoba"
"1149",43,"Female",0,"College","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Manitoba"
"1151",63,"Female",1,"University","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Saskatchewan"
"1161",41,"Male",0,"College","Yes","Not very important","$100,000 to $ 124,999","unemployement","born in Canada","Manitoba"
"1164",41,"Female",1,"Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","British Columbia"
"1165",61,"Female",0,"College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Manitoba"
"1166",48,"Male",0,"High school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec"
"1169",50,"Male",0,"University","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Saskatchewan"
"1172",38,"Female",1,"High school","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Quebec"
"1176",60,"Female",0,"Bachelor degree","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Alberta"
"1188",70,"Female",1,"Above bachelor","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","British Columbia"
"1191",22,"Male",1,"College","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","Manitoba"
"1192",64,"Female",1,"Above bachelor","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","British Columbia"
"1194",53,"Female",0,"Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"1196",37,"Female",0,"University","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Saskatchewan"
"1197",70,"Female",1,"High school","Yes","Very important","Less than $25,000","unemployement","born in Canada","Quebec"
"1201",64,"Female",1,"College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"1202",67,"Male",1,"Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Alberta"
"1208",42,"Female",1,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"1210",40,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"1216",69,"Male",0,"High school","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Quebec"
"1219",27,"Male",0,"Bachelor degree","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Alberta"
"1222",39,"Male",1,"High school","Yes","Not very important","$75,000 to $99,999","employement","born outside canada","Quebec"
"1226",49,"Male",0,"University","Yes","Not important at all","$125,000 and more","employement","born in Canada","Saskatchewan"
"1227",40,"Female",0,"College","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Manitoba"
"1233",57,"Male",1,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born outside canada","Alberta"
"1245",73,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","unemployement","born outside canada","Alberta"
"1249",56,"Male",0,"High school","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Quebec"
"1253",61,"Male",0,"University","Yes","Very important","$100,000 to $ 124,999","employement","born outside canada","Saskatchewan"
"1274",62,"Male",0,"Bachelor degree","Yes","Very important","Less than $25,000","employement","born in Canada","Alberta"
"1276",34,"Male",0,"College","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba"
"1278",40,"Female",0,"Bachelor degree","Yes","Not very important","$75,000 to $99,999","unemployement","born in Canada","Alberta"
"1283",53,"Male",0,"College","Yes","Not important at all","$75,000 to $99,999","employement","born outside canada","Manitoba"
"1301",41,"Female",0,"College","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"1304",64,"Female",1,"Less than high school","Yes","Very important","$25,000 to $49,999","employement","born in Canada","New Brunswick"
"1310",42,"Male",1,"Bachelor degree","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Alberta"
"1314",24,"Female",0,"University","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Saskatchewan"
"1315",20,"Male",0,"Trade diploma","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Ontario"
"1323",29,"Male",0,"College","Yes","Not important at all","$125,000 and more","employement","born in Canada","Manitoba"
"1324",46,"Female",0,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"1326",80,"Female",1,"Above bachelor","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","British Columbia"
"1329",24,"Female",0,"College","Yes","Not very important","$75,000 to $99,999","unemployement","born in Canada","Manitoba"
"1332",57,"Male",0,"Trade diploma","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Ontario"
"1333",55,"Male",1,"High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec"
"1339",75,"Female",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"1346",54,"Male",1,"High school","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Quebec"
"1348",59,"Male",1,"Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Alberta"
"1353",55,"Male",1,"High school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec"
"1356",55,"Male",1,"High school","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Quebec"
"1358",37,"Male",0,"Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"1360",47,"Male",0,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta"
"1362",71,"Male",0,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"1363",59,"Male",0,"College","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Manitoba"
"1364",56,"Female",0,"Bachelor degree","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Alberta"
"1371",58,"Male",1,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta"
"1373",67,"Male",1,"High school","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Quebec"
"1378",49,"Male",0,"College","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba"
"1380",18,"Male",0,"Trade diploma","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Ontario"
"1389",47,"Female",1,"Bachelor degree","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Alberta"
"1399",69,"Male",0,"College","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Manitoba"
"1401",74,"Male",0,"Above bachelor","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","British Columbia"
"1405",50,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"1406",76,"Female",1,"University","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Saskatchewan"
"1411",49,"Male",0,"High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec"
"1414",62,"Male",0,"High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec"
"1420",42,"Male",1,"Trade diploma","Yes","Very important","$125,000 and more","employement","born in Canada","Ontario"
"1426",50,"Male",0,"Above bachelor","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","British Columbia"
"1428",77,"Female",1,"High school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"1429",62,"Male",0,"College","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Manitoba"
"1431",32,"Female",0,"Above bachelor","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","British Columbia"
"1434",42,"Male",0,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"1436",39,"Female",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"1438",58,"Male",0,"College","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba"
"1445",41,"Male",0,"College","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Manitoba"
"1448",62,"Male",0,"College","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Manitoba"
"1449",77,"Male",0,"High school","Yes","Very important","Less than $25,000","unemployement","born in Canada","Quebec"
"1454",41,"Male",0,"College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"1459",33,"Male",0,"High school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec"
"1461",55,"Female",0,"Above bachelor","Yes","Not very important","$125,000 and more","unemployement","born outside canada","British Columbia"
"1463",53,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"1466",19,"Male",0,"Less than high school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","New Brunswick"
"1467",76,"Male",0,"High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Quebec"
"1471",53,"Male",0,"Above bachelor","Yes","Very important","$125,000 and more","employement","born outside canada","British Columbia"
"1473",45,"Male",0,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"1477",61,"Male",0,"High school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec"
"1478",75,"Female",1,"Bachelor degree","Yes","Not very important","$75,000 to $99,999","unemployement","born in Canada","Alberta"
"1484",57,"Female",1,"High school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec"
"1488",65,"Female",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"1489",57,"Female",0,"Less than high school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","New Brunswick"
"1491",68,"Male",0,"High school","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Quebec"
"1492",70,"Male",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"1493",44,"Female",1,"Above bachelor","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","British Columbia"
"1494",65,"Male",0,"University","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan"
"1495",94,"Male",0,"Trade diploma","Yes","Very important","Less than $25,000","unemployement","born in Canada","Ontario"
"1502",60,"Male",0,"College","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Manitoba"
"1503",62,"Female",0,"Above bachelor","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","British Columbia"
"1506",57,"Male",0,"High school","Yes","Very important","Less than $25,000","unemployement","born in Canada","Quebec"
"1509",85,"Female",1,"High school","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Quebec"
"1510",22,"Male",1,"University","Yes","Very important","$125,000 and more","unemployement","born in Canada","Saskatchewan"
"1513",75,"Female",1,"Above bachelor","Yes","Not very important","$75,000 to $99,999","unemployement","born in Canada","British Columbia"
"1518",45,"Male",0,"College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"1519",87,"Female",1,"Less than high school","Yes","Very important","Less than $25,000","unemployement","born in Canada","New Brunswick"
"1520",65,"Female",1,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta"
"1526",63,"Male",1,"Above bachelor","Yes","Not very important","$125,000 and more","unemployement","born in Canada","British Columbia"
"1528",69,"Female",1,"Less than high school","Yes","Not very important","$100,000 to $ 124,999","unemployement","born in Canada","New Brunswick"
"1529",44,"Female",0,"College","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Manitoba"
"1530",62,"Female",0,"College","Yes","Not very important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"1531",63,"Female",0,"University","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","Saskatchewan"
"1534",67,"Female",0,"High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Quebec"
"1538",71,"Male",0,"University","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan"
"1554",63,"Female",1,"Above bachelor","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","British Columbia"
"1557",54,"Male",0,"Trade diploma","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Ontario"
"1560",86,"Female",0,"Less than high school","Yes","Very important","Less than $25,000","unemployement","born in Canada","New Brunswick"
"1562",48,"Male",0,"College","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Manitoba"
"1566",65,"Female",1,"College","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Manitoba"
"1567",44,"Male",1,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"1568",66,"Female",1,"College","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"1569",65,"Male",0,"High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"1570",34,"Male",1,"Trade diploma","Yes","Very important","Less than $25,000","unemployement","born in Canada","Ontario"
"1571",73,"Female",1,"Less than high school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Nova Scotia"
"1579",46,"Male",0,"Less than high school","Yes","Very important","$125,000 and more","employement","born in Canada","Prince Edward Island"
"1582",43,"Male",0,"High school","Yes","Not very important","$125,000 and more","employement","born in Canada","Quebec"
"1583",77,"Female",0,"College","Yes","Very important","Less than $25,000","unemployement","born in Canada","Manitoba"
"1585",44,"Male",1,"College","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"1586",68,"Male",0,"University","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Saskatchewan"
"1588",76,"Female",1,"University","Yes","Very important","Less than $25,000","unemployement","born in Canada","Saskatchewan"
"1589",63,"Male",1,"University","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Saskatchewan"
"1593",36,"Male",0,"College","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Manitoba"
"1596",53,"Female",0,"Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"1605",68,"Female",1,"Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"1607",74,"Male",1,"High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"1613",76,"Male",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"1616",73,"Male",0,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"1619",61,"Male",1,"University","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Saskatchewan"
"1621",68,"Male",0,"College","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"1625",76,"Female",1,"Above bachelor","Yes","Not important at all","$100,000 to $ 124,999","unemployement","born in Canada","British Columbia"
"1626",82,"Female",1,"Bachelor degree","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Alberta"
"1629",68,"Female",1,"Above bachelor","Yes","Very important","Less than $25,000","unemployement","born in Canada","British Columbia"
"1630",80,"Female",1,"University","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Saskatchewan"
"1631",46,"Male",0,"Trade diploma","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Ontario"
"1632",42,"Female",0,"Bachelor degree","Yes","Very important","Less than $25,000","employement","born in Canada","Alberta"
"1634",73,"Female",0,"Less than high school","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Prince Edward Island"
"1636",63,"Female",0,"College","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Manitoba"
"1640",61,"Male",1,"Less than high school","Yes","Not important at all","$125,000 and more","employement","born in Canada","Nova Scotia"
"1641",62,"Female",1,"College","Yes","Not very important","$50,000 to $74,999","employement","born outside canada","Manitoba"
"1643",69,"Male",1,"College","Yes","Not very important","$75,000 to $99,999","unemployement","born in Canada","Manitoba"
"1644",43,"Female",1,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"1651",43,"Female",1,"Trade diploma","Yes","Not important at all","$25,000 to $49,999","employement","born in Canada","Ontario"
"1653",65,"Female",0,"Less than high school","Yes","Very important","Less than $25,000","unemployement","born in Canada","New Brunswick"
"1661",43,"Male",1,"Above bachelor","Yes","Very important","Less than $25,000","employement","born outside canada","British Columbia"
"1662",57,"Female",1,"Less than high school","Yes","Very important","$25,000 to $49,999","employement","born in Canada","New Brunswick"
"1664",54,"Female",0,"Bachelor degree","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Alberta"
"1667",28,"Male",0,"High school","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Quebec"
"1671",46,"Male",0,"University","Yes","Not very important","$125,000 and more","employement","born in Canada","Saskatchewan"
"1672",47,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"1677",58,"Male",0,"Above bachelor","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","British Columbia"
"1678",57,"Male",0,"University","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Saskatchewan"
"1679",81,"Male",0,"College","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"1686",76,"Female",0,"College","Yes","Not very important","$25,000 to $49,999","unemployement","born outside canada","Manitoba"
"1689",78,"Female",1,"University","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan"
"1692",42,"Female",0,"Bachelor degree","Yes","Very important","$125,000 and more","unemployement","born in Canada","Alberta"
"1696",59,"Male",0,"Less than high school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","New Brunswick"
"1697",72,"Male",0,"Bachelor degree","Yes","Very important","Less than $25,000","unemployement","born in Canada","Alberta"
"1704",77,"Female",0,"University","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Saskatchewan"
"1709",66,"Male",0,"College","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"1710",49,"Male",0,"Trade diploma","Yes","Not very important","Less than $25,000","employement","born in Canada","Ontario"
"1714",31,"Female",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Alberta"
"1716",70,"Female",0,"University","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Saskatchewan"
"1718",76,"Male",0,"Trade diploma","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Ontario"
"1722",91,"Male",1,"Less than high school","Yes","Somewhat important","Less than $25,000","unemployement","born outside canada","New Brunswick"
"1734",71,"Male",1,"College","Yes","Not very important","$125,000 and more","unemployement","born outside canada","Manitoba"
"1735",72,"Female",1,"Above bachelor","Yes","Somewhat important","$125,000 and more","unemployement","born outside canada","British Columbia"
"1741",54,"Female",0,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"1744",61,"Female",0,"Bachelor degree","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","Alberta"
"1746",67,"Female",1,"College","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Manitoba"
